QUOTE_UNIXTIME;QUOTE_READTIME;QUOTE_DATE;QUOTE_TIME_HOURS;UNDERLYING_LAST;EXPIRE_DATE;EXPIRE_UNIX;DTE;C_DELTA;C_GAMMA;C_VEGA;C_THETA;C_RHO;C_IV;C_VOLUME;C_LAST;C_SIZE;C_BID;C_ASK;STRIKE;P_BID;P_ASK;P_SIZE;P_LAST;P_DELTA;P_GAMMA;P_VEGA;P_THETA;P_RHO;P_IV;P_VOLUME;STRIKE_DISTANCE;STRIKE_DISTANCE_PCT;CallPutParityCriterion;C_MID;P_MID;C_BIDASKSPREAD;P_BIDASKSPREAD;YTE;calc;volume;Forward;LogMoneyness;FwdPct;LogMoneyFwdPct
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,52493;0,01273;0,51467;-11,63986;0,0353;0,24254;108;34.7; 25 x 25;12.39;14.41;2470;13.61;15.8; 25 x 25;4.85;-0,47855;0,01022;0,51553;-14,69963;-0,0317;0,30215;40;1.8;0;1.001240891;13.4;14.705;2.02;2.19;0.000739726;2468.696617;148;2468.696617;0.000229231;2470;0
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,58786;0,01241;0,50369;-9,44061;0,03907;0,24272;10;43.35; 25 x 25;15.09;17.3;2465;11.6;13.5; 25 x 25;4.1;-0,42822;0,00995;0,50725;-12,55007;-0,02847;0,30477;10;6.8;0;1.001263692;16.195;12.55;2.21;1.9;0.000739726;2468.6404;20;2468.640399;-0.000640908;2465;0
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,18449;0,00853;0,34495;-3,1231;0,01252;0,24042;13;22.49; 38 x 63;2.65;3.61;2500;31.5;37.99; 25 x 25;12.61;-0,74212;0,00754;0,41803;-6,51037;-0,04639;0,32864;1;28.2;0.01;1.00135;3.13;34.745;0.96;6.49;0.000739726;2468.427623;14;2468.427623;0.005519611;2525.25253;-0.004364806
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,11147;0,00616;0,24642;-1,67467;0,00713;0,23988;83;16.55; 52 x 52;1.34;2;2510;39.7;46.8; 25 x 25;16.55;-0,79724;0,00616;0,3645;-5,00971;-0,04747;0,34706;1;38.2;0.02;1.001330677;1.67;43.25;0.66;7.1;0.000739726;2468.475256;84;2468.475257;0.007244943;2561.22449;-0.008773924
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,00156;0.00005;0,00617;-0,02497;0,00048;0,45862;112;0.25; 0 x 10;0;0.05;2655;180.8;192.5; 1 x 25;165.7;-0,91679;0,00093;0,19165;-3,41051;-0,03908;0,9248;5;183.2;0.07;1.001274953;0.025;186.65;0.05;11.7;0.000739726;2468.612635;117;2468.612635;0.031611578;2854.83871;-0.031517051
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,00111;0.00002;0,00614;-0,02485;-0,0001;0,47953;8;2.35; 0 x 10;0;0.04;2665;190.8;202.5; 1 x 25;183.49;-0,9186;0,00083;0,18903;-3,4097;-0,03866;0,96405;2;193.2;0.08;1.001272045;0.02;196.65;0.04;11.7;0.000739726;2468.619804;10;2468.619805;0.033243004;2896.73913;-0.036212173
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,0012;0.00009;0,00595;-0,02479;-0,00041;0,51244;11;0.3; 0 x 10;0;0.06;2680;205.8;217.51; 1 x 25;292.65;-0,91968;0,00075;0,1864;-3,41006;-0,03828;1,02315;1;208.2;0.08;1.00126306;0.03;211.655;0.06;11.71;0.000739726;2468.641958;12;2468.641957;0.035676688;2913.04348;-0.036212173
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,00084;0.00008;0,00542;-0,02466;0,00058;0,52331;15;0.4; 0 x 10;0;0.05;2685;210.8;222.51; 1 x 25;263;-0,92021;0,0008;0,18485;-3,41005;-0,03794;1,04214;1;213.2;0.09;1.00126257;0.025;216.655;0.05;11.71;0.000739726;2468.643166;16;2468.643165;0.036485972;2950.54945;-0.040958608
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,00238;0,0001;0,00899;-0,04963;-0,00016;0,624;8;0.15; 0 x 254;0;0.1;2715;239.4;252.51; 25 x 25;316.19;-0,92706;0,00054;0,17067;-2,70979;-0,0339;1,11913;10;243.2;0.1;1.000981584;0.05;245.955;0.1;13.11;0.000739726;2469.33614;18;2469.336139;0.041189622;3016.66667;-0.045757491
1546439410; 2019-01-02 09:30; 2019-01-02;9.5;2471.76; 2019-01-02;1546462800;0.27;0,00258;0.00009;0,00867;-0,05021;0,00017;0,60167;8;0.15; 0 x 253;0;0.1;2705;230.8;242.5; 1 x 25;202.25;-0,92186;0,00066;0,18154;-3,41011;-0,03745;1,11978;2;233.2;0.09;1.001242144;0.05;236.65;0.1;11.7;0.000739726;2468.693527;10;2468.693527;0.039700091;2972.52747;-0.040958607
